4.497959183	62
5.108866213	65
5.704081632	69
5.839569160	69
6.325192743	67
7.569931972	0
8.918594104	60
9.217800453	60
9.513605442	60
9.648095238	64
10.020453514	64
10.296077097	67
10.580249433	67
10.873922902	65
12.670521541	0
13.502040816	65
13.995918367	65
14.259365079	69
14.865623582	72
15.443696145	74
15.937619047	74
16.210430839	72
17.400204081	0
18.232517006	65
18.526439909	65
18.831632653	69
19.144217687	69
19.413197278	72
19.709614512	72
20.003514739	74
20.534807256	74
20.820000000	72
21.944557823	0
22.844897959	65
23.130362811	65
23.417120181	74
24.577324263	0
25.115328798	74
25.373968253	76
25.670476190	77
26.793242630	76
27.048548752	74
27.589931972	72
28.318548752	0
29.550068027	74
29.758752834	72
30.109773242	69
31.099455782	0
32.702040816	65
33.205170068	65
33.504784580	72
34.915306122	0
35.528571428	64
35.853061224	65
36.134693877	62
37.548616780	0
